Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:   10 X RMS:  2.255 Y RMS:  1.958 Z RMS:  0.697                                          
  Check points   0 X RMS:        Y RMS:        Z RMS:                                                 
  Active TPs:  169 X RMS:  0.329 Y RMS:  0.732 Z RMS:  0.254                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY         Res X      Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y 
   AT0110      0.697      0.087     -0.691     -0.326    TP    1039-01       621098.302      4848380.416          215.111       621098.389      4848379.724
   AT0006      0.680      0.087      0.674      0.246    TP    1038-01       620192.422      4848245.077          200.462       620192.508      4848245.752
   AT0102      0.679     -0.088      0.673     -0.294    TP    1039-01       620380.508      4846952.401          172.087       620380.419      4846953.075
   AT0005      0.679     -0.188      0.653      0.266    TP    1037-01       620905.226      4848387.714          204.081       620905.038      4848388.367
   AT0161      0.672      0.120     -0.662      0.291    TP    1039-01       620526.723      4846963.171          190.381       620526.843      4846962.510
   AT0006      0.666     -0.059     -0.663     -0.256    TP    1037-01       620192.422      4848245.077          200.462       620192.363      4848244.414
   AT0109      0.662     -0.093      0.656      0.308    TP    1038-01       620957.966      4848383.829          208.407       620957.872      4848384.485
   AT0102      0.655      0.012     -0.655      0.313    TP    1037-01       620380.508      4846952.401          172.087       620380.520      4846951.746
   AT0157      0.653     -0.527      0.386     -0.209    TP    1038-01       620812.414      4847103.447          191.856       620811.886      4847103.833
   AT0109      0.648      0.055     -0.645     -0.315    TP    1039-01       620957.966      4848383.829          208.407       620958.021      4848383.184
   AT0161      0.637     -0.112      0.627     -0.287    TP    1038-01       620526.723      4846963.171          190.381       620526.610      4846963.798
   AT0002      0.635      0.076      0.630      0.301    TP    1038-01       620334.500      4848389.439          198.825       620334.576      4848390.070
   AT0106      0.624     -0.074      0.620      0.316    TP    1038-01       620529.809      4848390.478          195.204       620529.735      4848391.098
   AT0050      0.623      0.174     -0.598      0.260    TP    1039-01       620618.995      4846960.905          184.467       620619.169      4846960.307
   AT0002      0.620     -0.039     -0.619     -0.306    TP    1037-01       620334.500      4848389.439          198.825       620334.462      4848388.820
   AT0107      0.598     -0.069     -0.594     -0.287    TP    1039-01       620673.069      4848388.703          199.069       620673.000      4848388.109
   AT0003      0.597     -0.018     -0.596     -0.294    TP    1039-01       620620.397      4848390.406          197.781       620620.379      4848389.810
   AT0055      0.593     -0.068      0.589      0.280    TP    1037-01       620777.845      4848392.806          201.010       620777.776      4848393.395
   AT0003      0.590     -0.017      0.590      0.297    TP    1038-01       620620.397      4848390.406          197.781       620620.380      4848390.996
   AT0055      0.581     -0.004     -0.581     -0.290    TP    1039-01       620777.845      4848392.806          201.010       620777.840      4848392.226
   AT0063      0.579     -0.058      0.576      0.176    TP    1037-01       620909.093      4848152.745          201.443       620909.035      4848153.320
   AT0042      0.575     -0.560      0.133     -0.140    TP    1038-01       620903.372      4847246.886          194.686       620902.812      4847247.019
   AT0063      0.569      0.015     -0.569     -0.190    TP    1039-01       620909.093      4848152.745          201.443       620909.108      4848152.176
   AT0154      0.566      0.045     -0.564      0.201    TP    1039-01       620382.914      4847101.531          180.948       620382.959      4847100.966
   AT0114      0.562     -0.045     -0.560     -0.222    TP    1039-01       620814.127      4848239.838          212.530       620814.082      4848239.278
   AT0015      0.548     -0.054      0.545      0.148    TP    1037-01       620905.113      4848102.584          200.655       620905.059      4848103.129
   AT0052      0.541     -0.541      0.013     -0.104    TP    1038-01       620899.384      4846969.458          203.651       620898.843      4846969.470
   AT0010      0.525     -0.110     -0.514     -0.199    TP    1039-01       620761.027      4848242.502          208.708       620760.917      4848241.988
    T0001      0.523     -0.157      0.499      0.234    TP    1038-01       620445.023      4848282.821          194.484       620444.866      4848283.320
   AT0059      0.513     -0.050      0.511      0.203    TP    1037-01       620777.713      4848273.103          199.983       620777.663      4848273.614
   AT0156      0.513     -0.289      0.423     -0.166    TP    1038-01       620669.743      4847102.645          187.868       620669.454      4847103.068
   AT0059      0.505     -0.003     -0.505     -0.211    TP    1039-01       620777.713      4848273.103          199.983       620777.710      4848272.598
   AT0107      0.502      0.096      0.492      0.250    TP    1038-01       620673.069      4848388.703          199.069       620673.165      4848389.195
   AT0008      0.494      0.477      0.131      0.067    TP    1037-01       620476.867      4848249.600          189.200       620477.344      4848249.731
   AT0038      0.486     -0.475     -0.103     -0.068    TP    1038-01       620903.506      4847389.398          196.151       620903.031      4847389.295
   AT0164      0.482      0.027      0.481     -0.222    TP    1038-01       620955.608      4846957.657          183.422       620955.635      4846958.138
   AT0164      0.479      0.002     -0.479      0.229    TP    1039-01       620955.608      4846957.657          183.422       620955.610      4846957.177
   AT0034      0.478     -0.409     -0.248     -0.054    TP    1038-01       620904.144      4847531.716          196.014       620903.736      4847531.468
   AT0020      0.475      0.026      0.475      0.106    TP    1037-01       620905.459      4847960.175          197.640       620905.486      4847960.650
   AT0045      0.474      0.076     -0.468      0.160    TP    1039-01       620476.192      4847101.933          182.293       620476.267      4847101.465
   AT0011      0.473      0.047      0.470      0.130    TP    1038-01       620192.598      4848101.996          200.987       620192.645      4848102.466
   AT0162      0.473      0.216     -0.420      0.177    TP    1039-01       620669.393      4846960.731          186.926       620669.609      4846960.310
   AT0105      0.471      0.097     -0.461     -0.233    TP    1037-01       620386.415      4848390.776          194.372       620386.511      4848390.315
   AT0108      0.467     -0.148      0.443      0.182    TP    1037-01       620816.040      4848387.607          201.420       620815.891      4848388.050
   AT0011      0.466     -0.033     -0.464     -0.135    TP    1037-01       620192.598      4848101.996          200.987       620192.565      4848101.531
   AT0151      0.460     -0.444      0.118     -0.087    TP    1038-01       620812.784      4847245.960          193.039       620812.339      4847246.078
   AT0106      0.453      0.015     -0.453     -0.228    TP    1039-01       620529.809      4848390.478          195.204       620529.824      4848390.025
   AT0015      0.453      0.003     -0.453     -0.136    TP    1039-01       620905.113      4848102.584          200.655       620905.116      4848102.132
   AT0108      0.449      0.155      0.421      0.231    TP    1038-01       620816.040      4848387.607          201.420       620816.194      4848388.028
   AT0046      0.448     -0.246      0.375     -0.138    TP    1038-01       620619.016      4847102.986          186.556       620618.771      4847103.361
   AT0007      0.445      0.044      0.443      0.170    TP    1038-01       620334.457      4848245.946          198.804       620334.502      4848246.389
   AT0111      0.445     -0.168      0.413      0.195    TP    1038-01       620386.357      4848246.859          194.889       620386.190      4848247.272
   AT0155      0.445      0.096     -0.435      0.146    TP    1039-01       620526.476      4847101.615          183.076       620526.572      4847101.180
   AT0114      0.440     -0.088      0.431      0.150    TP    1037-01       620814.127      4848239.838          212.530       620814.039      4848240.269
   AT0163      0.439      0.305     -0.316      0.147    TP    1039-01       620811.840      4846962.167          191.732       620812.145      4846961.851
   AT0007      0.437     -0.024     -0.436     -0.173    TP    1037-01       620334.457      4848245.946          198.804       620334.433      4848245.510
   AT0041      0.436     -0.401      0.169     -0.082    TP    1038-01       620761.438      4847246.658          192.188       620761.036      4847246.828
   AT0115      0.429     -0.050      0.426      0.161    TP    1038-01       620957.828      4848242.293          205.438       620957.778      4848242.719
   AT0115      0.422      0.031     -0.421     -0.165    TP    1039-01       620957.828      4848242.293          205.438       620957.860      4848241.873
   AT0097      0.421      0.051     -0.418      0.151    TP    1039-01       620380.817      4847073.524          178.827       620380.868      4847073.106
   AT0097      0.412     -0.010      0.412     -0.163    TP    1037-01       620380.817      4847073.524          178.827       620380.807      4847073.935
   AT0111      0.410      0.086     -0.401     -0.163    TP    1037-01       620386.357      4848246.859          194.889       620386.443      4848246.459
   AT0165      0.405      0.038      0.403     -0.179    TP    1038-01       621098.788      4846957.002          183.527       621098.825      4846957.405
