Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:   10 X RMS:  2.285 Y RMS:  2.101 Z RMS:  0.741                                          
  Check points   0 X RMS:        Y RMS:        Z RMS:                                                 
  Active TPs:  169 X RMS:  0.333 Y RMS:  0.759 Z RMS:  0.263                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY         Res X      Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y 
   AT0008      0.874      0.455     -0.746     -0.407    TP    1039-01       620476.134      4848249.514          189.583       620476.589      4848248.767
   AT0154      0.856      0.032     -0.855      0.312    TP    1039-01       620384.906      4847103.905          179.965       620384.939      4847103.049
   AT0052      0.855      0.333      0.788     -0.354    TP    1039-01       620899.916      4846972.422          203.585       620900.249      4846973.210
   AT0050      0.849     -0.206      0.824     -0.383    TP    1038-01       620620.367      4846963.816          183.470       620620.161      4846964.640
   AT0055      0.837     -0.105      0.831      0.398    TP    1037-01       620776.586      4848393.086          203.618       620776.482      4848393.917
   AT0006      0.833      0.103      0.827      0.307    TP    1038-01       620192.183      4848243.833          200.324       620192.285      4848244.660
   AT0063      0.824     -0.090      0.819      0.253    TP    1037-01       620907.965      4848153.174          204.731       620907.875      4848153.993
   AT0055      0.818      0.003     -0.818     -0.412    TP    1039-01       620776.586      4848393.086          203.618       620776.589      4848392.267
   AT0006      0.816     -0.068     -0.813     -0.318    TP    1037-01       620192.183      4848243.833          200.324       620192.115      4848243.020
   AT0103      0.816     -0.079      0.812     -0.368    TP    1039-01       620515.933      4846949.981          160.072       620515.855      4846950.794
   AT0063      0.809      0.028     -0.809     -0.272    TP    1039-01       620907.965      4848153.174          204.731       620907.993      4848152.365
   AT0162      0.802     -0.334      0.729     -0.351    TP    1038-01       620670.605      4846963.630          186.026       620670.272      4846964.359
   AT0103      0.796     -0.019     -0.796      0.375    TP    1037-01       620515.933      4846949.981          160.072       620515.915      4846949.185
   AT0105      0.795     -0.227      0.762      0.424    TP    1038-01       620385.429      4848390.555          194.462       620385.202      4848391.317
   AT0107      0.777     -0.046     -0.775     -0.383    TP    1039-01       620671.893      4848388.977          200.795       620671.848      4848388.201
   AT0114      0.771     -0.016     -0.771     -0.309    TP    1039-01       620812.976      4848240.183          214.983       620812.961      4848239.412
   AT0015      0.769     -0.058      0.767      0.218    TP    1037-01       620904.046      4848103.067          203.768       620903.987      4848103.834
   AT0162      0.768      0.229     -0.733      0.323    TP    1039-01       620670.605      4846963.630          186.026       620670.834      4846962.897
   AT0045      0.743      0.068     -0.740      0.262    TP    1039-01       620477.790      4847104.254          181.298       620477.859      4847103.514
   AT0002      0.743      0.084      0.738      0.358    TP    1038-01       620333.601      4848388.717          199.267       620333.685      4848389.455
   AT0080      0.009      0.000     -0.009      0.001    TP    1037-01       620513.184      4847556.765          200.640       620513.184      4847556.756
   AT0096      0.006     -0.000      0.006     -0.002    TP    1037-01       620907.841      4847198.986          195.164       620907.841      4847198.992
    T0002      0.006     -0.005      0.002      0.000    TP    1038-01       620507.998      4847410.301          188.376       620507.992      4847410.302
   AT0003      0.737      0.005     -0.737     -0.369    TP    1039-01       620619.255      4848390.633          199.129       620619.260      4848389.896
   AT0002      0.726     -0.040     -0.725     -0.363    TP    1037-01       620333.601      4848388.717          199.267       620333.560      4848387.992
   AT0161      0.725     -0.046      0.723     -0.334    TP    1038-01       620528.355      4846966.041          189.154       620528.308      4846966.764
   AT0157      0.714     -0.559      0.444     -0.236    TP    1038-01       620813.019      4847105.926          191.798       620812.460      4847106.371
   AT0059      0.709     -0.075      0.705      0.283    TP    1037-01       620776.640      4848273.410          202.316       620776.565      4848274.115
   AT0097      0.708      0.086     -0.703      0.251    TP    1039-01       620382.842      4847076.012          177.842       620382.929      4847075.310
   AT0108      0.705     -0.169      0.684      0.301    TP    1037-01       620814.716      4848387.905          204.401       620814.547      4848388.589
   AT0155      0.703      0.092     -0.697      0.244    TP    1039-01       620527.896      4847103.929          182.126       620527.988      4847103.232
   AT0059      0.697      0.003     -0.697     -0.294    TP    1039-01       620776.640      4848273.410          202.316       620776.643      4848272.713
   AT0010      0.693     -0.084     -0.688     -0.273    TP    1039-01       620759.956      4848242.823          210.729       620759.872      4848242.135
   AT0106      0.691     -0.124      0.680      0.353    TP    1038-01       620528.725      4848390.577          195.987       620528.602      4848391.257
   AT0097      0.689     -0.019      0.689     -0.270    TP    1037-01       620382.842      4847076.012          177.842       620382.824      4847076.702
   AT0015      0.668      0.036     -0.667     -0.201    TP    1039-01       620904.046      4848103.067          203.768       620904.082      4848102.401
   AT0163      0.667      0.329     -0.580      0.272    TP    1039-01       620812.651      4846965.143          191.352       620812.981      4846964.563
   AT0020      0.656      0.034      0.655      0.150    TP    1037-01       620904.605      4847960.840          200.393       620904.639      4847961.495
   AT0003      0.653     -0.066      0.650      0.331    TP    1038-01       620619.255      4848390.633          199.129       620619.188      4848391.282
   AT0164      0.648      0.031      0.647     -0.296    TP    1038-01       620956.172      4846960.527          183.191       620956.204      4846961.174
   AT0164      0.646      0.008     -0.646      0.307    TP    1039-01       620956.172      4846960.527          183.191       620956.180      4846959.881
   AT0042      0.637     -0.619      0.152     -0.159    TP    1038-01       620903.536      4847249.074          195.531       620902.917      4847249.226
   AT0114      0.631     -0.095      0.624      0.229    TP    1037-01       620812.976      4848240.183          214.983       620812.881      4848240.807
   AT0004      0.607     -0.389      0.466      0.250    TP    1039-01       620762.310      4848387.888          202.844       620761.921      4848388.354
   AT0052      0.606     -0.597      0.104     -0.161    TP    1038-01       620899.916      4846972.422          203.585       620899.319      4846972.526
   AT0096      0.005      0.000     -0.005      0.002    TP    1039-01       620907.841      4847198.986          195.164       620907.842      4847198.981
   AT0115      0.604     -0.078      0.599      0.227    TP    1038-01       620956.467      4848242.594          209.099       620956.389      4848243.193
   AT0011      0.595     -0.040     -0.594     -0.176    TP    1037-01       620192.703      4848100.916          200.518       620192.664      4848100.323
   AT0115      0.593      0.051     -0.591     -0.233    TP    1039-01       620956.467      4848242.594          209.099       620956.518      4848242.003
   AT0046      0.589      0.151     -0.570      0.194    TP    1039-01       620620.134      4847105.297          185.758       620620.286      4847104.727
   AT0156      0.586      0.178     -0.558      0.192    TP    1039-01       620670.720      4847104.983          187.213       620670.898      4847104.425
   AT0105      0.582      0.122     -0.569     -0.290    TP    1037-01       620385.429      4848390.555          194.462       620385.551      4848389.987
    T0001      0.569     -0.197      0.534      0.256    TP    1038-01       620444.213      4848282.683          194.682       620444.016      4848283.217
   AT0156      0.558     -0.277      0.485     -0.188    TP    1038-01       620670.720      4847104.983          187.213       620670.443      4847105.467
