Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:    5 X RMS:  0.810 Y RMS:  0.490 Z RMS:  0.649                                          
  Check points   5 X RMS:  3.966 Y RMS:  4.466 Z RMS:  9.044                                          
  Active TPs:  169 X RMS:  0.334 Y RMS:  0.729 Z RMS:  0.249                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY        Res X       Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y     DS Res XY    DS Res X   DS Res Y 
   AT0108      0.787     -0.208     -0.759     -0.374    TP    1039-01       620815.970      4848390.117          199.699       620815.762      4848389.358      19.45       4.14     -19.01      -0.99
   AT0102      0.779     -0.105      0.771     -0.337    TP    1039-01       620384.548      4846950.207          171.574       620384.443      4846950.978      20.07       0.02      20.07      -0.95
   AT0008      0.775      0.325     -0.704     -0.358    TP    1039-01       620476.327      4848250.455          187.253       620476.651      4848249.752      21.45      -9.34     -19.31      -1.07
   AT0102      0.751      0.017     -0.751      0.358    TP    1037-01       620384.548      4846950.207          171.574       620384.566      4846949.456      20.02      -0.05     -20.02       1.02
   AT0005      0.715     -0.306      0.646      0.225    TP    1037-01       620905.431      4848390.589          202.348       620905.125      4848391.235      16.85       4.95      16.10       0.62
      G09      0.695     -0.594      0.360     -0.233   GCP    1037-01       620448.165      4847644.319          201.028       620447.571      4847644.679       6.95      -5.94       3.60      -2.33
      G09      0.695     -0.594      0.360     -0.233   GCP    1038-01       620448.165      4847644.319          201.028       620447.571      4847644.679       6.95      -5.94       3.60      -2.33
      G09      0.695     -0.594      0.360     -0.233   GCP    1039-01       620448.165      4847644.319          201.028       620447.571      4847644.679       6.95      -5.94       3.60      -2.33
   AT0163      0.693     -0.517      0.461     -0.282    TP    1038-01       620816.476      4846961.323          191.427       620815.959      4846961.784      15.34      10.42      11.26      -0.69
   AT0006      0.679      0.083      0.674      0.246    TP    1038-01       620190.352      4848246.243          194.894       620190.435      4848246.917      16.69      -0.26      16.69       0.70
   AT0006      0.666     -0.055     -0.663     -0.256    TP    1037-01       620190.352      4848246.243          194.894       620190.297      4848245.580      16.66       0.35     -16.65      -0.73
